Training epoch 0
[2/500][550/1383]	LossTot: 922784.2500	LossRec: 922784.2500
[2/500][560/1383]	LossTot: 642285.0000	LossRec: 642285.0000
[2/500][570/1383]	LossTot: 1130309.5000	LossRec: 1130309.5000
[2/500][580/1383]	LossTot: 1172773.7500	LossRec: 1172773.7500
[2/500][590/1383]	LossTot: 1109152.0000	LossRec: 1109152.0000
[2/500][600/1383]	LossTot: 912895.3125	LossRec: 912895.3125
[2/500][610/1383]	LossTot: 1129356.2500	LossRec: 1129356.2500
[2/500][620/1383]	LossTot: 905341.7500	LossRec: 905341.7500
[2/500][630/1383]	LossTot: 865462.1250	LossRec: 865462.1250
[2/500][640/1383]	LossTot: 871418.9375	LossRec: 871418.9375
[2/500][650/1383]	LossTot: 781248.3125	LossRec: 781248.3125
[2/500][660/1383]	LossTot: 505850.5938	LossRec: 505850.5938
[2/500][670/1383]	LossTot: 641857.1250	LossRec: 641857.1250
[2/500][680/1383]	LossTot: 409388.5000	LossRec: 409388.5000
[2/500][690/1383]	LossTot: 1378549.5000	LossRec: 1378549.5000
[2/500][700/1383]	LossTot: 1165312.5000	LossRec: 1165312.5000
[2/500][710/1383]	LossTot: 761124.3750	LossRec: 761124.3750
[2/500][720/1383]	LossTot: 752883.2500	LossRec: 752883.2500
[2/500][730/1383]	LossTot: 620835.5000	LossRec: 620835.5000
[2/500][740/1383]	LossTot: 847615.8125	LossRec: 847615.8125
[2/500][750/1383]	LossTot: 2075161.0000	LossRec: 2075161.0000
[2/500][760/1383]	LossTot: 1399176.8750	LossRec: 1399176.8750
[2/500][770/1383]	LossTot: 7892383.0000	LossRec: 7892383.0000
[2/500][780/1383]	LossTot: 6792874.0000	LossRec: 6792874.0000
[2/500][790/1383]	LossTot: 2798310.0000	LossRec: 2798310.0000
[2/500][800/1383]	LossTot: 1287200.2500	LossRec: 1287200.2500
[2/500][810/1383]	LossTot: 1071533.7500	LossRec: 1071533.7500
[2/500][820/1383]	LossTot: 1159862.7500	LossRec: 1159862.7500
[2/500][830/1383]	LossTot: 804909.7500	LossRec: 804909.7500
[2/500][840/1383]	LossTot: 749391.6250	LossRec: 749391.6250
[2/500][850/1383]	LossTot: 927764.7500	LossRec: 927764.7500
[2/500][860/1383]	LossTot: 5358900.5000	LossRec: 5358900.5000
[2/500][870/1383]	LossTot: 2724575.5000	LossRec: 2724575.5000
[2/500][880/1383]	LossTot: 2036213.8750	LossRec: 2036213.8750
[2/500][890/1383]	LossTot: 2426766.2500	LossRec: 2426766.2500
[2/500][900/1383]	LossTot: 912487.1875	LossRec: 912487.1875
[2/500][910/1383]	LossTot: 732459.0000	LossRec: 732459.0000
[2/500][920/1383]	LossTot: 1053091.8750	LossRec: 1053091.8750
[2/500][930/1383]	LossTot: 2800335.0000	LossRec: 2800335.0000
[2/500][940/1383]	LossTot: 854530.0000	LossRec: 854530.0000
[2/500][950/1383]	LossTot: 689679.5625	LossRec: 689679.5625
[2/500][960/1383]	LossTot: 654176.9375	LossRec: 654176.9375
[2/500][970/1383]	LossTot: 494935.3750	LossRec: 494935.3750
[2/500][980/1383]	LossTot: 657315.2500	LossRec: 657315.2500
[2/500][990/1383]	LossTot: 1557572.7500	LossRec: 1557572.7500
